,file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
"('/content/sample_data/nuestros/LM_02calm.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:03.399433107'))",,,,31.944014,0.09041493,30.650755,31.293987,34.32264,3.6718845,574.70166,665.1459,55.1851,58.267834,0.3768573,1.1575379,0.0695849,0.13566896,0.6226604,0.5530755,5.969834,4.3558335,9.199679,7.4481983,0.19599257,1.496893,21.871527,0.8416643,7.0738597,1.7584084,6.3090534,2.2371821,-3.1982858,-4.117333,0.013063919,0.84817415,1.0980941,1.0236425,7.3546734,0.5457451,2.1506631,2.6494074,30.176315,0.33000347,664.1489,0.2663533,1275.2782,0.20149311,-120.6489,-0.7658451,1719.0504,0.15883496,1046.1926,0.45298165,-123.325294,-0.6885172,2769.3926,0.093282774,807.4528,0.3732912,-126.91005,-0.6358292,-18.580458,-0.5014118,29.366638,0.41625884,0.07656822,0.36495563,-0.03707414,-0.39318547,0.4132897,0.79674417,37.315426,0.4356602,10.493875,1.4069124,8.33055,2.1979296,-11.54474,-1.3088545,-5.3044734,12.494212,0.029852828,-0.0021383339,0.028894817,2.071006,1.2012012,0.36249998,0.32437438,0.35799998,0.3702107,-31.744158
"('/content/sample_data/nuestros/GA_04sad.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:02.308095238'))",,,,29.124252,0.2821228,20.929893,33.16774,36.674133,15.74424,84.76662,47.02371,83.24491,53.73335,0.3043848,0.73504686,0.072570756,0.27425107,0.53940845,0.4668377,5.3817754,3.7680328,3.8119714,1.0585749,0.13527931,0.8425386,18.09669,1.0585663,17.699701,0.8304782,-3.851031,-4.3868256,-15.279295,-0.9896499,0.07247924,1.4390092,1.846437,0.5745241,2.1110141,2.4518383,9.9053,1.7680157,23.295847,0.76468056,455.80542,0.31317988,1199.3542,0.16951905,-92.64086,-1.1012537,1498.7911,0.1994377,892.2484,0.36817572,-87.909485,-1.0373487,2573.874,0.10702158,822.20374,0.5420084,-93.17754,-0.9316668,-13.306406,-0.7236372,21.895302,0.5230411,0.12327226,0.20736204,-0.023181498,-0.5448541,0.15385133,0.4377956,24.219936,0.561711,16.617693,0.88271874,-2.977897,-6.629145,-14.377199,-1.3088537,-1.5301303,8.694542,0.09667228,-0.017953174,0.119315796,3.930131,2.2624433,0.252,0.21784396,0.14,0.13178265,-40.47517
"('/content/sample_data/nuestros/LM_04sad.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:03.585192744'))",,,,33.18938,0.08544452,31.393166,32.833675,35.83238,4.439213,351.602,273.66736,31.458437,37.42592,0.5622852,1.1083199,0.098770246,0.22515984,1.0860667,0.98729646,15.7172,9.830427,11.948786,7.1263294,0.31681928,1.4166569,20.423674,0.8741316,7.3208003,1.5910215,3.5675864,4.128753,-5.334816,-2.5256712,0.026572324,1.3683345,1.461086,0.92313653,7.081964,0.57001305,5.546017,1.5987755,27.596895,0.2992415,508.93118,0.30740058,1205.309,0.15588368,-124.78968,-0.7414915,1576.5071,0.1767274,812.64514,0.4216318,-126.45179,-0.67827463,2663.1965,0.08444599,829.13763,0.3730228,-129.3603,-0.6342608,-17.041183,-0.4865639,26.032883,0.39635688,0.098287575,0.23179334,-0.031290054,-0.40267533,0.6885305,0.7097802,33.073418,0.48737797,8.39332,1.5307977,9.075455,2.148153,-15.195685,-0.9619657,-5.78685,14.248846,0.079073206,-0.007907029,0.05856457,2.2408965,1.4204545,0.28599998,0.16267759,0.48999998,0.4115823,-27.12726
"('/content/sample_data/nuestros/LM_07disgust.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:03.585192744'))",,,,32.147125,0.11108919,29.429739,31.521093,34.110744,4.6810055,155.96587,136.8555,68.05435,89.028915,0.8144925,1.1763325,0.09190287,0.38715458,1.3257188,1.2338159,17.356537,13.46555,15.747671,9.291897,0.5465243,1.5003843,21.668224,0.9067964,1.529311,8.897225,5.0030065,3.350055,-6.945832,-2.8332856,0.037086688,1.0477289,1.437702,0.7953921,4.4392786,1.0132341,1.9244777,2.7434342,22.112762,0.46969777,538.2756,0.32286304,1267.2698,0.16696513,-114.55146,-0.83678794,1554.7001,0.17600705,870.5678,0.39310047,-114.66695,-0.78427,2633.8267,0.10011988,698.68976,0.50028354,-117.2127,-0.7432926,-14.369178,-0.5922681,22.43217,0.4658187,0.08853561,0.3149512,-0.030546946,-0.48057595,1.1051028,0.8434049,35.155037,0.39813676,-2.296805,-7.238856,11.660996,1.6977146,-17.37062,-1.3286986,-4.4786587,12.883404,0.060161028,-0.0055894246,0.064765915,1.9607843,1.1363636,0.405,0.236696,0.45,0.29690066,-23.439875
"('/content/sample_data/nuestros/GA_02calm.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:02.656394558'))",,,,28.99346,0.31472677,17.898806,30.188694,31.767303,13.868498,96.39418,8.537903,181.05264,55.311543,0.20219599,0.9616644,0.062280506,0.12326935,0.30908138,0.24680087,4.967096,5.7727895,2.2376509,2.05295,0.07244563,1.2388575,13.127678,1.2515475,12.773129,0.90875775,5.719368,3.019999,-11.628429,-1.3904754,0.089722626,1.9327496,1.9443977,0.6650174,1.4035879,3.631169,-0.07178312,-208.71208,21.982275,0.82744104,443.81335,0.365523,1161.4182,0.19564241,-115.62248,-0.84397167,1459.5656,0.15755925,876.1036,0.27402696,-117.55681,-0.7596632,2622.9187,0.09381642,656.69794,0.5103803,-120.11606,-0.7169332,-12.601043,-0.8354888,20.660313,0.6203559,0.11503292,0.23907846,-0.021589663,-0.45611733,0.13091812,0.6625003,22.403706,0.6875664,17.42691,0.61925644,8.785708,2.5881464,-17.31888,-0.8985111,-2.4157126,8.341331,0.09495944,-0.0076563284,0.026748905,3.0303032,1.9305019,0.22,0.060663003,0.19285715,0.24568936,-43.93354
"('/content/sample_data/nuestros/GA_07disgust.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:02.461315193'))",,,,32.055553,0.2391337,26.955097,31.054934,33.904182,6.949085,44.28398,19.29272,70.37703,31.026491,0.39536592,0.96056366,0.025820013,0.2780244,0.7187711,0.6929511,8.591244,3.5747795,6.523374,4.1402235,0.17176914,1.1184353,13.132158,1.3802478,11.840452,0.84807247,-0.3225628,-48.08434,-9.4413395,-1.3590394,0.031487074,1.1819171,1.601766,0.47240466,2.2266748,2.1521978,3.316383,3.1907418,22.466475,0.47342715,519.2513,0.48826027,1119.9393,0.2944952,-104.49865,-0.90898734,1572.0377,0.21280453,798.66486,0.40532014,-100.53911,-0.88300836,2612.7102,0.12230916,798.0023,0.72197706,-103.91936,-0.81902283,-10.096511,-0.917239,18.744658,0.64240766,0.11814094,0.25045028,-0.020817045,-0.57237196,0.28065082,0.6995607,18.800236,0.9265704,13.604494,0.79387254,-1.8919928,-10.089917,-10.682609,-1.373435,-2.7955441,9.464741,0.09215225,-0.009077209,0.05623879,3.265306,3.3472805,0.14999999,0.057227615,0.16499999,0.18589872,-36.784016
"('/content/sample_data/nuestros/AB_08surprised.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:02.757981859'))",,,,34.654095,0.2271906,29.612362,34.88387,42.32859,12.7162285,258.05173,270.55145,251.25119,182.12257,1.0815761,0.9737388,0.081223205,0.79770416,2.1118417,2.0306184,27.715445,16.858341,21.926748,8.820563,1.513142,1.2333177,26.61912,0.40986902,8.247439,1.4569755,4.52781,3.729629,-7.651528,-2.462169,0.10247667,1.1033816,1.513559,0.6882529,4.168653,1.3926542,2.6641874,6.209534,19.194056,0.8019266,587.99207,0.42368624,1243.3936,0.2158467,-108.20419,-0.8891168,1652.2405,0.19685191,911.4305,0.52138495,-100.36484,-0.87566525,2671.6982,0.11514392,802.7444,0.4023805,-102.63772,-0.83543783,-17.537174,-0.43320715,25.032116,0.30341053,0.10004833,0.42904255,-0.042446192,-0.42346594,2.706585,0.6736172,26.20925,0.44221246,6.033681,2.4233527,0.9061599,23.512188,-15.57907,-1.381469,-16.246044,25.800392,0.005283866,-0.020772696,0.11939698,4.0145984,1.4869888,0.35,0.3238055,0.22399999,0.17670313,-18.257734
"('/content/sample_data/nuestros/AB_03happy.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:02.525782313'))",,,,25.962166,0.15080479,22.776455,26.15536,29.446718,6.6702633,115.55764,165.73404,65.36125,60.805122,1.0252619,1.0017004,0.085202366,0.7843918,1.781642,1.6964396,21.75686,8.917758,17.926586,9.846806,0.9976138,1.1943011,30.917675,0.38479507,11.623057,0.782542,8.417666,1.4820621,5.755376,2.715045,0.027754357,0.81132287,1.6347175,0.6938426,3.3273907,1.2869029,3.4760802,2.8070986,23.299452,0.4827525,503.2144,0.30727923,1306.352,0.15036665,-72.55953,-1.310046,1563.1942,0.14321057,948.6557,0.33427927,-83.98264,-1.0195992,2556.3708,0.1112071,947.3018,0.4491102,-84.41042,-1.0132533,-19.142305,-0.37982973,24.582584,0.3325296,0.055873483,0.74599046,-0.04530195,-0.338038,1.52626,0.801987,33.167217,0.33777004,10.5039835,1.0071787,8.535799,1.7629215,5.8469353,3.269737,-17.017096,27.054398,-0.008506266,-0.020159211,0.11871835,3.187251,1.2244898,0.5,0.39149287,0.21249999,0.25897634,-18.945509
"('/content/sample_data/nuestros/GA_06fearful.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:02.467732426'))",,,,35.36099,0.21521215,33.507057,36.433773,37.810837,4.3037796,178.82031,126.61832,76.46399,35.35146,0.3288791,0.85533935,0.05419315,0.2587721,0.5963902,0.54219705,7.042042,3.668696,4.1401114,1.9413794,0.1200798,1.0024872,9.449825,1.8785154,16.427574,0.6846075,0.9267201,17.747807,-7.7372108,-1.7579557,0.06377859,1.7972511,1.5810405,0.70715284,5.661196,0.983535,5.8396444,1.5082027,20.230072,0.6750866,538.5206,0.37429276,1212.4266,0.19988343,-122.92162,-0.74640894,1648.5103,0.18814981,818.6609,0.34287587,-107.21143,-0.8082142,2726.3044,0.10431453,778.3784,0.50316125,-108.82203,-0.7798813,-13.581943,-0.79137534,22.890907,0.6224016,0.10454084,0.22250107,-0.019450916,-0.4975547,0.17778885,0.68415576,14.934346,1.0920131,21.09964,0.48814544,2.1323574,9.580011,-10.023782,-1.4922726,-1.876361,9.208558,0.09230259,-0.0064843134,0.06170319,3.6734693,1.6666667,0.3075,0.15497984,0.216,0.14374977,-38.702057
"('/content/sample_data/nuestros/AB_01neutral.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:03.181133787'))",,,,23.533604,0.17582467,19.632725,22.729713,26.869978,7.237253,74.83854,50.3946,45.30657,14.300476,0.5176011,1.0173167,0.08142611,0.30867398,0.8305571,0.749131,11.290979,7.6728263,6.121341,3.2698455,0.44057706,1.3512686,30.36125,0.36715528,15.033195,0.5970701,9.927097,1.4613914,-4.225834,-4.271467,0.040033408,1.0326695,1.7988987,0.61628556,0.6331991,6.245924,4.477365,2.499007,28.918818,0.28786355,503.59195,0.36195877,1308.6866,0.20455322,-91.011856,-1.0548989,1503.2928,0.20152907,1056.2828,0.3727193,-98.03624,-0.9023953,2610.5627,0.09427868,836.7892,0.45986664,-102.28773,-0.8260863,-21.295095,-0.35734877,30.436962,0.28356004,0.035124168,1.0450276,-0.046919513,-0.4001418,0.74583906,0.875773,33.52071,0.30130848,17.281548,0.553742,9.15185,2.0536797,-10.090324,-2.1521633,-15.818679,24.489895,-0.0054476033,-0.024681708,0.06203724,2.5236595,1.2861737,0.42999998,0.33098337,0.26,0.24803226,-26.989332
