,file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
"('/content/ravdess/Actor_07/03-01-07-02-02-01-07.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:04.137458333'))",,,,26.667095,0.1779653,23.038078,25.989384,31.115776,8.077698,195.57439,210.70773,101.42715,117.36501,0.23192875,1.3118069,0.01585069,0.06618886,0.3910014,0.3751507,6.002653,4.6252065,4.4985094,3.2902048,0.100629866,1.6703538,12.986195,1.1837903,11.702039,1.1218169,13.113322,1.1328436,1.4648215,12.855817,0.042277038,0.91145843,1.7047201,0.70447594,1.3370128,2.9364846,0.27468014,26.097837,12.644701,0.7357098,646.94556,0.43278983,1095.8605,0.24797897,-128.32068,-0.7206628,1789.5072,0.19440472,630.8058,0.55544823,-131.35757,-0.6551929,2692.7146,0.1425453,886.5703,0.4465676,-130.10481,-0.67527974,-12.630184,-0.7072133,17.81531,0.57601935,0.08226199,0.46630543,-0.02598348,-0.523591,0.23974487,0.86503327,23.054749,0.5116444,7.830795,1.9754852,18.51999,0.9965616,-12.916558,-1.7195991,-12.066724,21.221518,-0.0017562739,0.0033189747,0.01650135,2.4271846,1.4742016,0.25,0.13012813,0.405,0.37668508,-40.752537
"('/content/ravdess/Actor_07/03-01-02-02-01-01-07.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:04.004000'))",,,,25.04603,0.12861484,21.788929,24.864525,26.793236,5.004307,76.7203,75.73755,16.97975,7.9257135,0.11157913,0.7703719,0.037563335,0.104287006,0.18072155,0.14315821,1.8743722,1.5677687,1.648521,1.0731616,0.02376702,0.98164177,12.935808,1.453761,5.162532,2.123113,13.979439,0.86266875,7.53935,2.0433016,0.016650597,1.058063,1.0607768,0.60657257,5.135708,0.4511935,1.6806443,7.056567,15.569758,0.51543844,484.35843,0.43420073,1163.3463,0.24929692,-122.73681,-0.74395996,1481.7213,0.19159228,947.3436,0.37371674,-126.963326,-0.6738657,2407.8442,0.11815107,800.4547,0.8816239,-127.64956,-0.66307735,-14.841346,-0.46647495,20.841358,0.35912165,0.030782055,0.9009492,-0.022910476,-0.6266338,0.04227587,0.5249372,29.165483,0.3875528,10.177698,0.91088223,18.196808,0.86623055,5.959745,3.3734744,-2.5084538,9.453554,0.019448604,0.005277419,0.011000332,2.0050125,1.5228428,0.26333332,0.17885436,0.442,0.39801505,-51.90715
"('/content/ravdess/Actor_07/03-01-05-01-01-01-07.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:04.004000'))",,,,32.09736,0.13306023,30.516087,33.054276,34.719067,4.20298,140.85674,204.71625,38.898914,12.135611,0.4558725,1.2418631,0.017962974,0.19341093,0.9606854,0.9427224,9.531321,4.6559434,11.208065,5.450093,0.22952831,1.3442311,11.648437,1.285632,0.3138026,47.80022,11.381472,1.4644127,-1.8554183,-10.654025,0.04231143,2.4752579,1.322652,0.6958416,4.09929,1.0462499,3.3447986,2.6892862,12.256011,0.5978771,645.8154,0.42730185,1059.9902,0.2894582,-121.97356,-0.7749895,1750.0262,0.18163332,701.9981,0.5580911,-117.36513,-0.77479154,2698.787,0.12762214,782.77734,0.60674673,-116.66909,-0.7846852,-8.131209,-0.761122,15.537478,0.46717662,0.034312047,1.6463411,-0.015497893,-0.99522233,0.47725898,0.65080947,20.943434,0.59500724,-2.7486944,-5.6854634,18.015686,1.101062,-14.477739,-1.4260486,-12.937021,24.942041,0.009041519,0.009748615,0.03373272,2.0050125,1.0152285,0.435,0.25223997,0.422,0.44673932,-33.548214
"('/content/ravdess/Actor_07/03-01-08-01-02-02-07.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:03.436770833'))",,,,28.170986,0.12992685,26.6335,28.579927,30.914719,4.2812195,30.57232,10.528519,48.375042,32.232777,0.19182569,1.2613231,0.00684581,0.022997234,0.39093235,0.38408655,3.6545517,2.7717721,4.0710144,2.8055098,0.079575054,1.4533305,14.718835,1.1125041,7.467813,1.4271258,11.702905,1.1542526,0.88539207,19.657423,0.03843991,1.0716279,1.4275701,0.60461766,3.115489,1.1783589,0.030453641,167.73782,18.105925,0.39605716,559.1231,0.3970336,1129.8845,0.21773686,-125.12551,-0.7515146,1676.7513,0.17980915,750.7773,0.49845073,-129.43532,-0.67183894,2629.262,0.13882822,728.0477,0.3867644,-129.2229,-0.67513597,-12.583698,-0.5232711,19.22042,0.42519018,0.09241504,0.38806853,-0.022897502,-0.63480604,0.18651758,0.59505737,28.963161,0.40697524,2.9838183,4.5737762,19.747833,0.8480298,-11.307952,-1.90399,-7.3036675,15.978782,0.027129048,0.0069540176,0.011973765,2.0467837,0.89020777,0.43666667,0.122836836,0.4975,0.41312072,-42.453236
"('/content/ravdess/Actor_07/03-01-02-02-02-01-07.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:04.270937500'))",,,,26.955507,0.118144915,23.542252,26.769283,30.438662,6.89641,29.48431,12.519,34.46135,14.46117,0.12447761,0.9720414,0.022851134,0.09494922,0.20193277,0.17908163,1.6997286,0.9803403,1.6013466,1.2354482,0.027787639,1.306173,15.493182,1.2992512,9.675166,0.9741576,12.371905,0.8815238,6.1912255,2.7311368,0.018393375,2.0082781,0.9943331,0.96965337,6.065956,0.5225649,3.5695705,1.5889634,22.723225,0.2682577,458.85666,0.37343797,1185.8544,0.22276084,-116.5345,-0.80753326,1449.8369,0.18949807,945.6047,0.3202822,-121.64698,-0.7159005,2450.0413,0.12487648,758.22046,0.5301015,-123.63175,-0.6858862,-16.73305,-0.39971805,23.838028,0.26871857,0.065183625,0.410145,-0.022313448,-0.57161146,0.05480602,0.7096469,31.974161,0.29613805,10.666607,0.98124653,17.040693,0.7259698,-0.8516871,-24.49155,-3.2285793,11.445054,0.038669333,0.0071433475,0.0069605303,1.8779343,1.1933174,0.362,0.1411949,0.3783333,0.38407534,-48.836037
"('/content/ravdess/Actor_07/03-01-04-01-01-01-07.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:03.536875'))",,,,28.887262,0.072199985,26.984898,28.713411,31.300213,4.3153152,21.95293,7.155593,9.726182,18.032063,0.08249459,1.2602199,0.0087361615,0.020553686,0.15132505,0.14258888,2.8693655,2.0525117,1.8882319,1.0885458,0.023228386,1.5344664,15.120426,1.1407632,4.981415,2.0982974,7.5552015,1.5160185,2.656959,5.519538,0.018540267,0.7487347,1.4163572,0.86793274,5.4250803,0.6687168,1.3864862,5.135014,23.066927,0.33600226,444.47357,0.47497505,1245.4683,0.23722649,-146.41844,-0.5728434,1443.6062,0.19908294,861.0846,0.33306038,-148.17287,-0.53606856,2445.6284,0.10459907,765.1046,0.2888687,-150.21799,-0.50711495,-15.602153,-0.4730918,24.385284,0.31986788,0.08860734,0.51618004,-0.017025206,-0.81503576,0.06213992,0.66604346,32.091335,0.40144405,5.5703583,2.682586,15.828171,0.8834192,-1.3721039,-16.292095,-4.669534,14.63788,0.0684681,0.007366292,0.008461873,2.840909,1.7291067,0.16,0.07852813,0.34,0.4167219,-51.656715
"('/content/ravdess/Actor_07/03-01-03-02-01-01-07.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:04.104104167'))",,,,34.840176,0.122538574,32.23982,35.03151,37.143997,4.9041786,64.17846,51.553677,181.9872,256.34094,0.5082943,1.0740218,0.028023262,0.276714,1.0092139,0.9811907,10.073592,4.767308,9.2421055,4.584527,0.3003424,1.2497462,15.705357,0.7620671,-2.747384,-4.4820633,7.698684,1.8313355,0.4454408,42.296947,0.03939188,1.7862555,1.2396879,0.6535661,5.539319,0.6067412,3.9343596,2.4520652,13.262842,0.68177944,652.6377,0.4614944,1079.5516,0.20114718,-126.693985,-0.7238585,1685.1725,0.1989539,683.80676,0.506755,-115.13613,-0.77781117,2736.431,0.14677472,687.8153,0.3562017,-115.650665,-0.77045625,-9.151426,-0.6818309,17.100998,0.47784552,0.057131793,0.9718463,-0.01614556,-0.9616367,0.57497233,0.5603157,22.814365,0.47670075,-4.3191185,-3.2834964,12.663317,1.3687102,-5.6943035,-4.1051507,-10.968285,20.904415,-0.008093753,0.00038873314,0.06702813,2.444988,1.7326733,0.25857142,0.21530235,0.3433333,0.4283949,-32.550167
"('/content/ravdess/Actor_07/03-01-06-01-02-01-07.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:03.436770833'))",,,,32.42104,0.04231382,31.212923,32.18682,33.87807,2.6651478,96.36321,93.450645,15.52233,10.427822,0.1613969,1.1970112,0.009374313,0.027774025,0.37549496,0.36612064,3.6996212,2.2616582,3.3615685,1.9866259,0.052228697,1.3759432,13.098014,1.3519535,6.3053293,1.5940429,9.143682,1.3676755,2.9811246,5.620179,0.017272709,0.9079936,0.996789,0.69224954,7.681249,0.45509943,3.2166584,2.2708893,22.083002,0.23237216,573.2185,0.43885458,1147.9979,0.24730402,-129.7454,-0.7156179,1599.9326,0.20251031,805.4213,0.367091,-131.4094,-0.65869474,2607.6865,0.13445756,725.5176,0.36027294,-132.30263,-0.64520997,-14.81398,-0.42280495,21.841034,0.388482,0.099102005,0.39144516,-0.021205563,-0.70773095,0.12365626,0.532687,30.782726,0.4044633,6.2981267,1.5682099,14.430533,1.1388284,-2.6306686,-8.844191,-7.693891,16.88502,0.048520498,0.0076880497,0.009426819,2.6315792,0.89020777,0.42333332,0.06847546,0.67333335,0.38473654,-43.369415
"('/content/ravdess/Actor_07/03-01-05-02-01-02-07.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:04.004000'))",,,,37.7515,0.1704686,35.209457,38.075558,41.92975,6.720291,185.23631,120.65014,67.76851,43.033363,1.0139376,1.3932911,0.022434123,0.3301094,1.9812684,1.9588343,29.439156,23.770348,18.893625,11.398541,1.0615486,1.6873299,9.970765,1.2226789,2.150689,7.4669204,14.048393,1.0951916,3.1969802,6.1538157,0.053302586,1.7358416,1.1928836,0.6981323,3.3471856,1.2880456,1.2411846,21.853231,2.0930986,12.555888,748.8805,0.37563685,1048.7115,0.28259596,-142.98819,-0.6007243,1814.1891,0.1496264,671.9605,0.5913864,-129.22853,-0.6829131,2837.0532,0.10479827,777.6483,0.31459734,-127.581055,-0.70812047,-5.563914,-1.3133506,11.345618,0.78292984,0.014275242,3.5099726,-0.015788179,-0.8103188,2.3874824,0.8963853,13.728274,0.68797565,-9.422818,-1.5945946,17.946125,1.2003278,-8.203518,-2.9350548,-21.95245,32.895267,-0.060516667,0.00083891704,0.23979944,1.754386,1.7766498,0.20857143,0.12597375,0.33142856,0.43962413,-21.73212
"('/content/ravdess/Actor_07/03-01-07-02-01-01-07.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:04.137479167'))",,,,30.85028,0.15248911,28.300335,31.061798,34.27664,5.976307,61.791874,60.5035,139.20058,139.6236,0.31947663,1.1584618,0.0074097766,0.17264384,0.66506904,0.6576593,8.816906,5.5439405,6.510263,3.521931,0.15747578,1.3843191,11.65935,1.2796623,6.568205,1.6750935,12.359524,1.2619355,-3.9127889,-4.3474975,0.059336863,1.7764071,1.2617179,0.7576956,3.7879584,1.1363759,3.3370378,2.8429685,14.916356,0.523953,577.94727,0.42788732,1085.8329,0.2438119,-127.48624,-0.7222883,1704.153,0.15731588,665.9147,0.7269235,-125.27938,-0.6948942,2660.2012,0.13042907,764.7243,0.48979974,-123.47137,-0.72037935,-10.474355,-0.61366063,16.061728,0.40761256,0.05698291,0.861987,-0.024197172,-0.6724257,0.32677075,0.6818663,23.18594,0.49462512,5.0211225,2.8922071,20.737137,0.87730914,-15.580832,-1.2171456,-8.647508,18.725443,0.018679138,0.008495976,0.04333958,2.1844661,1.4742016,0.275,0.18909873,0.32714286,0.4049943,-37.039623
