,file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
"('/content/ravdess/Actor_06/03-02-06-01-01-02-06.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:04.671333333'))",,,,44.569035,0.029315101,43.65706,44.078663,45.94006,2.283001,13.119726,3.6979485,10.934579,3.5171738,0.16214089,1.0092967,0.008782048,0.11360069,0.2825303,0.27374825,3.7958515,2.3037407,2.3424385,1.161524,0.034966864,1.2258571,10.020571,1.7396649,-6.586007,-1.7810166,-7.322634,-2.4851213,-18.526335,-1.0138345,0.008486162,1.7650148,0.5076938,0.99012506,15.229404,0.22087523,11.313754,0.5127861,27.38023,0.44551435,827.2101,0.18695313,1267.7649,0.24088824,-123.70927,-0.7444118,1717.5046,0.13570492,886.6125,0.342659,-124.0922,-0.6902266,2956.4282,0.06181352,628.38696,0.6157725,-128.46931,-0.62861174,-12.63869,-0.5330115,27.894897,0.41354933,0.16137573,0.20543396,-0.0054679145,-2.086075,0.06645195,0.6327775,24.868465,0.47004467,-9.775007,-1.3665555,-19.665253,-0.92821234,-34.37733,-0.48897257,1.6626195,6.3081875,0.09116061,0.006590932,0.011282051,1.9313306,1.3015184,0.32166666,0.2481543,0.36428568,0.42057297,-45.187103
"('/content/ravdess/Actor_06/03-02-01-01-02-02-06.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:04.537875'))",,,,44.210644,0.027745983,43.74114,44.046814,44.926903,1.1857643,35.121017,25.296028,8.225384,5.9799576,0.31408167,1.0209469,0.018099282,0.19686528,0.6513494,0.6332501,3.4903705,1.9285074,3.7306325,1.9689527,0.07112849,1.1806589,11.162067,1.3162168,-11.909998,-1.6188157,0.4254505,34.982574,-22.903532,-1.2919364,0.009039022,2.044324,0.5994137,1.036472,13.173861,0.45239446,12.367291,0.6427488,18.252935,0.505608,636.6699,0.43178165,1339.7814,0.26126775,-141.0536,-0.61022043,1602.2136,0.17033967,966.3845,0.43927035,-102.98078,-0.8937727,2781.0781,0.08752368,861.398,0.6943391,-106.09919,-0.83643377,-8.912664,-0.74938756,18.716982,0.38260096,0.15511905,0.24745888,-0.0050825803,-2.2111492,0.13274445,0.57216257,20.437977,0.5910083,-22.802256,-0.87692577,-5.366971,-2.9075959,-45.531013,-0.5210525,-3.156306,12.209316,0.07019984,0.003964514,0.0053411517,1.5486726,1.1185683,0.45999998,0.25147566,0.41,0.44140685,-39.01955
"('/content/ravdess/Actor_06/03-02-02-02-01-02-06.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:06.339666667'))",,,,44.540833,0.038814202,43.792843,44.1563,44.657368,0.86452484,22.289433,13.826475,18.305632,14.125811,0.23609634,0.8896807,0.02240856,0.20165208,0.46168515,0.43927658,2.0560231,0.920249,2.1191468,1.1265888,0.037889365,1.2876444,15.044623,1.1143651,-10.833225,-1.3364903,-7.9056797,-2.3204412,-32.03546,-0.7928847,0.0067354054,2.2153368,0.46674156,1.1976011,15.216685,0.3014447,12.730242,0.5398681,24.132967,0.37561402,771.50995,0.22237803,1270.2008,0.19754238,-89.51777,-1.0871198,1674.5165,0.14332971,853.02496,0.37319487,-90.804924,-0.98226863,2954.1892,0.048518237,435.6593,0.82179683,-95.827354,-0.8869376,-11.543069,-0.5647902,23.99507,0.35506406,0.16217528,0.19394062,-0.0040273177,-2.8534644,0.059392918,0.8715048,24.667213,0.4405277,-18.084705,-0.7465407,-16.763763,-1.0221001,-48.9946,-0.3510262,-2.9069486,9.8329315,0.10126762,0.008776576,0.009854748,1.107595,1.1164274,0.52,0.477942,0.305,0.44243643,-42.824295
"('/content/ravdess/Actor_06/03-02-06-01-02-01-06.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:04.437770833'))",,,,44.477158,0.044813372,43.615208,44.215252,46.324997,2.7097893,124.66991,114.392845,10.253295,7.9323506,0.18971431,0.9801715,0.011839751,0.13990685,0.35594496,0.3441052,2.8898125,1.9549533,2.33993,1.4415231,0.041034494,1.1549029,11.14603,1.4148651,-7.2381997,-1.7994014,-6.71841,-2.4592493,-18.191544,-1.2403435,0.0080501735,1.7848722,0.48137453,0.9576619,14.48666,0.25575647,11.836748,0.5817692,24.280928,0.45823044,776.82587,0.23714533,1271.1172,0.21421088,-123.43754,-0.7472542,1694.059,0.1476597,868.1725,0.45645088,-117.987015,-0.7416759,2937.5276,0.07311409,632.1764,0.47648582,-122.46831,-0.67516935,-11.712607,-0.5395975,25.247435,0.394283,0.1563791,0.24295954,-0.005341755,-1.9862683,0.07817386,0.5278996,23.036957,0.5126956,-13.031761,-1.01091,-14.405638,-1.1932927,-37.561325,-0.51041657,-0.65626734,8.20685,0.07763743,0.005526565,0.010054106,2.4886878,1.3729978,0.32833332,0.29796067,0.32714286,0.37908593,-43.720642
"('/content/ravdess/Actor_06/03-02-04-02-02-01-06.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:04.304291667'))",,,,44.456356,0.0407408,43.617645,44.268375,46.33324,2.7155952,29.537966,26.729197,22.414993,17.812733,0.39479098,1.0948454,0.013441047,0.20871617,0.77425593,0.7608149,6.0050616,5.883921,4.003884,1.9684876,0.1176264,1.3029615,6.485108,1.7934496,-17.150318,-1.12563,-1.0298924,-13.900685,-23.655144,-1.0519298,0.01081712,1.4481795,0.6439487,0.71078795,11.669194,0.4042959,10.664708,0.7707152,13.748926,0.68479127,641.0438,0.61685723,1035.4452,0.33705553,-149.21568,-0.5559336,1648.3674,0.2457193,800.1826,0.31730866,-99.38729,-0.9537173,2725.5247,0.14029343,715.5803,0.40871176,-102.2206,-0.900023,-5.549181,-1.2176206,14.770096,0.51717675,0.16679645,0.19066378,-0.0014723275,-7.6960883,0.21775632,0.6968322,13.947068,0.6611412,-28.50334,-0.6705799,-3.7561562,-4.21909,-42.555397,-0.46376038,0.13089032,8.804406,0.07089736,0.0031598478,0.0061149877,2.097902,0.47169814,1.12,0.59999996,0.65,0.38323185,-37.39965
"('/content/ravdess/Actor_06/03-02-01-01-01-01-06.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:04.671333333'))",,,,44.232983,0.022496466,43.81775,44.023315,44.541607,0.7238579,19.783535,9.19577,9.559886,7.790428,0.21778733,1.0392932,0.009659229,0.13017635,0.48158896,0.47192973,2.9345212,1.6635956,2.4286215,1.44238,0.037301503,1.2253015,12.856676,1.2530774,-8.431729,-1.6769662,-6.52629,-2.439241,-24.085419,-1.0567807,0.010798587,1.9502276,0.5880793,1.3647428,15.020049,0.3003814,13.854191,0.56693965,23.898941,0.34933144,719.61145,0.29481184,1261.9237,0.23599176,-121.012375,-0.7808875,1683.2213,0.16286609,817.7345,0.3820809,-107.092224,-0.84849066,2944.7036,0.06636843,530.1553,0.8306393,-111.8366,-0.7700318,-11.94,-0.63015014,24.08278,0.39546078,0.17220041,0.207516,-0.006636885,-1.5464759,0.06640626,0.66182834,23.876503,0.48782587,-16.003801,-0.9595276,-15.934877,-1.0090933,-44.650703,-0.43586352,-1.4447169,9.321125,0.0784691,0.006988916,0.007787669,1.502146,1.0845987,0.45999998,0.31112698,0.36666667,0.42034376,-41.827545
"('/content/ravdess/Actor_06/03-02-06-02-02-01-06.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:04.137458333'))",,,,46.998833,0.09057235,44.27432,46.08486,48.211914,3.9375954,51.77661,44.4738,19.936918,13.872845,0.79203254,1.0163479,0.016549166,0.49490398,1.6341507,1.6176016,11.957475,7.2746334,11.428882,6.8373666,0.4209146,1.2625953,2.176331,4.5711703,-15.7282,-1.1647962,-6.1454287,-2.486531,-19.106947,-1.2904317,0.023391427,1.2524215,0.96581715,0.65748453,7.359358,0.8932517,7.70528,1.2472451,11.861916,0.9346662,776.518,0.48237917,843.1285,0.39991632,-116.57382,-0.81625754,1819.8424,0.2268491,703.9851,0.45307872,-90.102005,-1.0409861,2874.285,0.12880062,609.12225,0.47343138,-88.951454,-1.0354369,-2.4363108,-3.338255,12.230314,0.60767096,0.13186371,0.3820811,-0.0029392613,-4.2674246,0.70256054,0.7656464,5.3814626,2.058428,-25.744816,-0.6036633,-9.980676,-1.6908236,-33.95659,-0.63771045,-2.254707,11.898531,0.045202073,0.006026283,0.02947355,2.4271846,0.9828011,0.59,0.630119,0.324,0.3162657,-28.459532
"('/content/ravdess/Actor_06/03-02-05-01-01-02-06.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:04.170833333'))",,,,43.174187,0.09370416,42.746094,43.89134,45.09445,2.3483582,167.47182,153.65543,72.00741,45.33315,0.40811726,1.1084741,0.024451455,0.1916165,0.8420457,0.8175943,5.6725545,3.3110313,6.774643,3.0563786,0.12932532,1.3712159,6.4043913,2.189115,-17.195147,-1.1845796,4.966594,3.145114,-21.235634,-1.2161372,0.029992655,2.1705985,0.7853243,0.9169148,10.126381,0.6425444,9.350341,1.0805088,13.598458,0.6979674,707.3468,0.4908115,1036.1881,0.2983602,-139.9869,-0.6390426,1739.6932,0.21759656,903.0739,0.3748943,-105.20401,-0.90648276,2789.2485,0.12437537,774.8035,0.41934323,-106.76732,-0.8769265,-4.415946,-1.9020461,14.227094,0.52353835,0.14262852,0.25641325,-0.0019899795,-6.8020678,0.25440386,0.71909744,15.864859,0.68485075,-29.009798,-0.75166935,0.7764475,22.855608,-40.885548,-0.562769,4.391144,4.3257766,0.06747271,0.005792882,0.01043529,1.6826924,0.97323596,0.5,0.4739726,0.404,0.4561403,-36.30528
"('/content/ravdess/Actor_06/03-02-02-02-02-02-06.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:05.572229167'))",,,,44.243607,0.05600629,43.522163,43.964127,44.57766,1.0554962,89.079636,120.60626,18.275848,15.7002125,0.22992899,0.8791198,0.024916006,0.19307297,0.4064823,0.38156632,1.9286304,1.2771479,2.5339372,1.6969361,0.03256094,1.1311548,13.76752,1.213561,-12.418726,-1.4546919,-6.538945,-3.2046678,-27.092087,-0.95725167,0.008773854,4.1575055,0.40285712,1.4888852,15.465933,0.2813383,12.315948,0.6881425,23.40404,0.43110928,780.51483,0.23483351,1241.4247,0.25035232,-93.71975,-1.0474846,1701.0477,0.11051859,837.2065,0.34889466,-91.86165,-0.9877279,2957.7463,0.053058054,456.0723,0.7152538,-97.49289,-0.88231355,-10.220136,-0.6677607,23.017857,0.41230702,0.16730423,0.16829477,-0.0049481797,-1.9409903,0.052773967,0.6907604,23.70952,0.50217617,-21.3938,-0.80733365,-16.730148,-1.0156504,-45.311077,-0.37947595,-2.7339885,11.937896,0.049502783,0.0049129454,0.0048189634,1.2589928,0.9074411,0.636,0.4922032,0.442,0.44503483,-43.945446
"('/content/ravdess/Actor_06/03-02-01-01-02-01-06.wav', Timedelta('0 days 00:00:00'), Timedelta('0 days 00:00:04.637958333'))",,,,44.21279,0.024149911,43.77032,44.024082,44.687572,0.9172516,17.914402,14.262545,12.870406,8.27842,0.2854876,0.97458357,0.01364829,0.18664682,0.565049,0.5514007,3.1059163,1.5539917,2.8530962,1.9083602,0.061669968,1.1314253,9.879275,1.5952958,-11.412524,-1.6145068,-1.4676185,-10.084061,-24.935434,-1.0572716,0.0077863215,1.7021073,0.67294055,1.136,13.621207,0.43167445,15.621051,0.47367576,19.185942,0.50031143,716.5711,0.39129394,1293.4865,0.24318002,-126.79741,-0.72208184,1662.133,0.18746822,1017.94946,0.45914367,-102.195564,-0.89624393,2813.161,0.09018002,742.6767,0.7046471,-105.00425,-0.8464733,-10.447968,-0.61931956,20.067472,0.39853162,0.16566412,0.21124062,-0.0073339767,-1.5453085,0.11246189,0.55071235,20.055307,0.6444501,-19.995415,-1.0121443,-7.7016587,-1.995472,-43.174473,-0.5417625,-0.18447948,8.065609,0.08414074,0.0049407454,0.0059560253,2.3809524,0.8752736,0.59749997,0.25133392,0.41799998,0.45079485,-40.06415
